4,H-AY,0.4Ha Extension,0.4Ha ????,2011-12-20 00:00:00,2012-10-31 00:00:00,,0
2,W-AQ,Boiler 15ton x 2 units,??????15ton x 2 ?????????,2011-04-25 00:00:00,2012-10-31 00:00:00,,0
4,H-BH,6.1Ha Wukong Office,6.1Ha Wukong???,2012-09-04 00:00:00,2012-10-15 00:00:00,,0
4,H-AW,ESP Wet Scrubber,?????????????????,2011-01-10 00:00:00,2012-09-19 00:00:00,,0
4,H-BA,5.0Ha Hoist Crane,5.0Ha ????,2012-02-03 00:00:00,2012-08-02 00:00:00,,0
2,W-AK,Sawdust warehouse in CEZ II,???????,2010-07-29 00:00:00,2012-04-01 00:00:00,,0
4,H-AX,5.0Ha Extension Building,5.0Ha i-Cube??,2011-04-25 00:00:00,2012-03-02 00:00:00,,0
4,H-AV,0.3Ha Warehouse Building,0.3Ha ????,2010-10-27 00:00:00,2011-12-19 00:00:00,,0
4,H-AP,6.5Ha Warehouse Building,6.5Ha ????,2009-09-23 00:00:00,2011-12-01 00:00:00,,0
4,H-AR,1.7Ha Warehouse Building,1.7Ha ????,2010-02-17 00:00:00,2011-12-01 00:00:00,,0
4,H-AT,6.5Ha I-Cube Office,6.5Ha i-Cube???,2010-09-28 00:00:00,2011-11-30 00:00:00,,0
4,H-AU,6.5Ha Hoist Crane,6.5Ha ????,2010-10-27 00:00:00,2011-01-01 00:00:00,,0
4,H-CV,EPS facility project @CEZII Second Factory,CEZII ???? EPS????????,2017-03-21 00:00:00,,,0
4,H-CW,PU facility project @CEZII Second Factory,CEZII ???? ????????????,2017-03-21 00:00:00,,,0
4,H-CX,Demolition work for HTI Panel Factory,HTI?????????,2017-03-21 00:00:00,,,0
